image_id,label
532de967-c8fb-49a6-9a8c-3c32cfa93d3e,0
c0519e94-1422-405c-a847-ce726f4a13cf,2
13a99838-2919-4b79-b9fd-bce8f0e59e09,2
5394f036-7549-4afd-8437-46936d31fc5d,3
9ea32dc6-77bc-4dca-8d8d-05b368b3fa13,4
40282cb1-9e39-421a-8fdd-05bbaf405bb1,2
f4259217-3239-4613-9c9b-5f3147373228,3
184987a4-72ed-4d91-9729-402edc0ed752,2
b1aff3cc-7fc6-40ef-b107-7367e42b94f1,4
69613b94-916d-48b9-b2bb-c4d360283a99,0
3e7cbbc7-33df-4122-a0fe-ab65f5b4214f,2
7c7f3bd2-b922-4e26-88eb-26b0b9945fae,3
4b8fb2ee-39d3-4cc9-8903-28093bad313f,3
e0d275be-38e8-4d44-99ab-ef52a095f59d,1
252b3745-95ba-4778-b45a-f7314d590500,0
edca403e-0480-465f-b1b2-884a2079958a,3
6b019218-fe29-49fa-bf6d-f888e67da4c0,1
0cde3b64-2b04-4863-a772-fa038f44c3eb,1
2c1f9208-3a91-42b5-8add-04c65784ffd3,0
e7028dba-7098-4413-894b-39340f507617,3
054b3f8a-3702-4c2b-8c3d-871e46211fa0,0
01f4bca9-38c4-4ca6-bca0-6689a4e77837,0
6e29d738-9935-4b13-93fa-d49a724a3e8f,4
0adff1ae-dbb5-4021-b5f1-88a6ec7906b5,3
b4a01b6d-01dc-46cd-92fe-d2b0cce57a8d,1
e920f86a-06da-4886-babe-fb4d6e917571,0
1e8acc16-2a79-49a1-b0ff-f83d1b2bf4b3,4
23b0b9f3-7353-471c-a554-63977952c52b,2
59932632-706f-4b53-8fe0-b7fdf3379b2f,1
384539a5-f4c1-4ade-8b56-aff30f93a254,2
29696e95-cff5-49a6-afac-01c6019701b8,2
749d3dd1-2c30-4eb5-a099-29ad3c149990,0
93bb8fa3-2542-4578-a186-7d60cac40cd1,1
00e2bd17-4400-4f49-9bfc-3fd66a3d611a,0
63f04bc7-2903-4011-bdf3-62a82192b979,1
b14c747b-0ead-440e-a53e-9fa49564aa8a,0
0ce5f922-b8c3-4106-9ca5-754e533ef921,2
42844bfd-a4aa-47a8-bb16-f89d3066c503,1
f01bea70-b184-4cf2-855b-9bdfdd842463,0
1379911d-e8d4-4b40-8c9a-a1ac38793e70,4
9c4d6ff3-3518-4fcb-a851-b9686140a824,0
cea334cf-3b27-4671-960f-77eabb066b16,0
8a092432-aef9-44fb-8dfa-631c91579180,0
cc0890e2-6708-493d-bc8f-4309316d0621,0
bc46b7fe-55af-4005-a7e3-13c28169d6dd,4
87fb7c36-a3da-4423-92b4-358f0aaffd19,2
f872a6df-fc64-429c-875c-3956c7b0e820,0
78eb8749-bc95-4ae1-b13d-58ec7c459400,0
60e71e8e-eaad-44b2-b145-fbf901078fa9,3
48f5897f-64a9-4eb5-9e74-f01af6aa993a,1
9ed12622-c2a0-452a-ab8c-cc9f989eabc3,1
36599f9f-edb0-430d-9022-cfb1dcfd1eb9,1
93664b66-fd50-412b-af49-5e198f7d8793,1
f3132907-4bfd-4ae3-af3c-42b6e74de763,2
8854ca3b-1155-41de-9f6f-0b7de8990553,2
df7b8d64-6329-4be1-bfd5-b8bb763d604a,4
65cc1a1a-c577-4804-875d-66f0e3a06f50,4
65568645-c0ac-412c-a41c-296818fe0b6f,3
fb4aacd5-3557-4c57-82f4-5c01f2a70d8a,3
64211014-70b0-440d-b525-0b66280dd861,4
017b06dd-d366-485d-b805-f6ceb74cbb68,1
366f41d5-046f-4af3-b4c2-21aba60dcdb3,3
1a8b8696-9eb2-4ce6-bf61-1e9a3eb3a3fc,1
59a46344-b862-42d9-8b6a-4b73173ebebd,1
0bd06824-9566-4067-bb4f-61857dd227df,3
6cd19f73-a2d1-4ebc-8d1b-18d37648be6b,4
cc6a0f38-dd3b-43ba-8875-44cc386ab51f,1
219a4580-bb7b-44d1-9fcb-f6504a39eb26,4
dab4ec91-4e12-44ad-a953-b393a93a35c6,4
a80466bc-b1de-46fb-bdd7-211d0f2e1c0f,0
627b504d-1dc7-4481-b9fc-c91d588ea099,4
edf60bd6-d912-4dcb-9b01-42f586daf89b,2
695d7547-fcda-4fdb-9e8b-6051f23931d5,1
a5f90ac4-96b5-4785-8bc8-310875ec63a6,2
bffb054a-bc1d-4336-941f-7c492b8df5ec,1
52f222b5-99a0-4693-bc88-6ed3508abbdd,0
13465a07-af17-4cbe-89eb-6184e7e36fec,2
6c3fd130-0a5a-4236-bd33-4fb8b1985046,3
8ea39502-dea0-432b-ab5a-ee27a7fa3e26,3
7420d6be-9244-476d-868f-b75e773ccea8,0
40482812-018a-40a5-8e8b-4003f5c624d5,1
5474fe77-6b34-429b-a2b1-b91cdb4f75fa,4
8a7d1884-7e02-46e7-97a7-8c482f3a6a42,1
fe34a4db-8046-4495-8f8d-ae35c1e3b6a6,1
4b885440-34fd-4e5a-bf20-4e2e9bdecb2a,3
5e035f84-b981-415a-8661-bf48d9aa38e4,4
f6e3de1e-2a67-433e-a620-0c2c5de5d36b,1
bc06ee84-7b29-480c-9387-04d4c7c8f539,0
00dcf538-6c95-4fa5-81d1-6f838449bfff,2
f6fb3ddf-2283-4f65-b6e1-b90f9aa8a9ff,0
2d61b334-71f9-4c9b-81ed-d6a4da3fd238,2
5784316c-a5dd-4943-a0bd-58b430a859ac,0
0fa85af6-2667-4b03-aea0-042b61ed7c01,2
1b090cb9-16f5-4059-9491-2009ac0374a2,1
4eaf7ec0-3de4-4757-9009-c228063b8075,0
3e167250-2cc0-4a40-a569-5e011689e1ed,0
67164f1f-c8d3-4f00-955a-87acc45a430b,1
7da38d3f-b408-491a-ab6f-ee39db4c4bf1,1
b5480913-c287-4275-9af5-b71e2e034ea8,2
07f04b98-0207-4eed-a24c-bdab0f34b5fe,3
e903d326-9289-469a-9e71-3af47de39c6a,4
5e617f82-7c22-4743-8ffe-19935ff5bda1,0
eef906c3-7768-4a6b-9f35-6baaba443696,1
3b2f9379-6355-47b8-bd96-b5828cdaae08,3
53979d8a-c2a4-43b1-9b40-c87a7e96ba8a,4
3f0bb832-54f1-4e61-a9a2-d823de559723,0
406b3464-d1a1-4444-bbe8-88dbf658e44d,4
1b6ff413-7ffc-4683-981f-7a0d56e7f803,3
bacc6182-9875-4b8b-a943-6a04cc20681a,2
9493df0d-7ff8-4841-920b-73922e2e47e4,2
4d036a77-4385-493c-b57a-2dd461ccf96e,1
9cc3d082-429f-4733-aa32-32268d8f2cef,3
a624e8b7-5b3b-4f52-bc6d-ac5291749ddc,1
6d8e2d7d-8829-47eb-9fa9-95a7ef7e7839,3
f7137479-dd5a-4611-b19c-6e3cba86d04e,2
eecd9684-dee3-4025-b950-578ff9bfb7de,1
ab2e3458-8c29-44e1-8714-2a3b59cabd5f,1
091fca23-4d78-458c-bd4d-73db20449125,4
